text,label
"7.3 Computation of EigenvaluesExample 2. (to change a13 = a31 to zero)Embedding H into Q, the result Q−1AQ is tridiagonal:Q−1AQ is a matrix that is ready to reveal its eigenvalues—the QR algorithm is ready tobegin—but we digress for a moment to mention two other applications of these same1. The Gram-Schmidt factorization A = QR. Remember that R is to be upper trian-gular. We no longer have to accept an extra nonzero diagonal below the main one,since no matrices are multiplying on the right to spoil the zeros. The ﬁrst step inconstructing Q is to work with the whole ﬁrst column of A:H1 = I −2 vvTThe ﬁrst column of H1A equals −∥x∥z. It is zero below the main diagonal, and itis the ﬁrst column of R. The second step works with the second column of H1A,from the pivot on down, and produces an H2H1A which is zero below that pivot.(The whole algorithm is like elimination, but slightly slower.) The result of n − 1steps is an upper triangular R, but the matrix that records the steps is not a lowertriangular L. Instead it is the product Q = H1H2···Hn−1, which can be stored in thisfactored form (keep only the v’s) and never computed explicitly. That completes2. The singular value decomposition UTAV = Σ. The diagonal matrix Σ has the sameshape as A, and its entries (the singular values) are the square roots of the eigenval-ues of ATA. Since Householder transformations can only prepare for the eigenvalueproblem, we cannot expect them to produce Σ. Instead, they stably produce a bidi-agonal matrix, with zeros everywhere except along the main diagonal and the oneThe ﬁrst step toward the SVD is exactly as in QR above: x is the ﬁrst column of A,and H1x is zero below the pivot. The next step is to multiply on the right by an H(1)",computations
"5.3 Difference Equations and Powers AkDifference Equations and Powers AkDifference equations uk+1 = Auk move forward in a ﬁnite number of ﬁnite steps. Adifferential equation takes an inﬁnite number of inﬁnitesimal steps, but the two theoriesstay absolutely in parallel. It is the same analogy between the discrete and the continuousthat appears over and over in mathematics. A good illustration is compound interest,when the time step gets shorter.Suppose you invest $1000 at 6% interest. Compounded once a year, the principal Pis multiplied by 1.06. This is a difference equation Pk+1 = APk = 1.06Pk with a time stepof one year. After 5 years, the original P0 = 1000 has been multiplied 5 times:Now suppose the time step is reduced to a month. The new difference equation is pk+1 =(1+.06/12)pk. After 5 years, or 60 months, you have $11 more:The next step is to compound every day, on 5(365) days. This only helps a little:Finally, to keep their employees really moving, banks offer continuous compounding.The interest is added on at every instant, and the difference equation breaks down. Youcan hope that the treasurer does not know calculus (which is all about limits as ∆t → 0).The bank could compound the interest N times a year, so ∆t = 1/N:1000 → e.301000 = $1349.87.Or the bank can switch to a differential equation—the limit of the difference equationpk+1 = (1+.06∆t)pk. Moving pk to the left side and dividing by ∆t,The solution is p(t) = e.06t p0. After t = 5 years, this again amounts to $1349.87. Theprincipal stays ﬁnite, even when it is compounded every instant—and the improvementover compounding every day is only four cents.The main object of this section is to solve uk+1 = Auk. That leads us to Ak and powersof matrices. Our second example is the famous Fibonacci sequence:",eigenvec_val
"2.3 Linear Independence, Basis, and DimensionExample 6. The vectors w1 = (1,0,0), w2 = (0,1,0), and w3 = (−2,0,0) span a plane(the x-y plane) in R3. The ﬁrst two vectors also span this plane, whereas w1 and w3 spanExample 7. The column space of A is exactly the space that is spanned by its columns.The row space is spanned by the rows. The deﬁnition is made to order. Multiplying Aby any x gives a combination of the columns; it is a vector Ax in the column space.The coordinate vectors e1,...,en coming from the identity matrix span Rn. Everyvector b = (b1,...,bn) is a combination of those columns. In this example the weightsare the components bi themselves: b = b1e1 + ··· + bnen. But the columns of othermatrices also span Rn!Basis for a Vector SpaceTo decide if b is a combination of the columns, we try to solve Ax = b. To decide ifthe columns are independent, we solve Ax = 0. Spanning involves the column space,and independence involves the nullspace. The coordinate vectors e1,...,en span Rnand they are linearly independent. Roughly speaking, no vectors in that set are wasted.This leads to the crucial idea of a basis.A basis for V is a sequence of vectors having two properties at once:1. The vectors are linearly independent (not too many vectors).2. They span the space V (not too few vectors).This combination of properties is absolutely fundamental to linear algebra. It meansthat every vector in the space is a combination of the basis vectors, because they span.It also means that the combination is unique: If v = a1v1 + ··· + akvk and also v =b1v1 + ··· + bkvk, then subtraction gives 0 = ∑(ai − bi)vi. Now independence plays itspart; every coefﬁcient ai − bi must be zero. Therefore ai = bi. There is one and onlyone way to write v as a combination of the basis vectors.We had better say at once that the coordinate vectors e1,...,en are not the only basisfor Rn. Some things in linear algebra are unique, but not this. A vector space hasinﬁnitely many different bases. Whenever a square matrix is invertible, its columns areindependent—and they are a basis for Rn. The two columns of this nonsingular matrixare a basis for R2:Every two-dimensional vector is a combination of those (independent!) columns.Example 8. The x-y plane in Figure 2.4 is just R2. The vector v1 by itself is linearlyindependent, but it fails to span R2. The three vectors v1, v2, v3 certainly span R2, butare not independent. Any two of these vectors, say v1 and v2, have both properties—they",vector spaces
"1.6 Inverses and Transposes(a) Find a nonzero solution x to Ax = 0. The matrix is 3 by 3.(b) Elimination keeps column 1 + column 2 = column 3. Explain why there is no27. Suppose A is invertible and you exchange its ﬁrst two rows to reach B. Is the newmatrix B invertible? How would you ﬁnd B−1 from A−1?28. If the product M = ABC of three square matrices is invertible, then A, B, C areinvertible. Find a formula for B−1 that involves M−1 and A and C.29. Prove that a matrix with a column of zeros cannot have an inverse.30. Multiply [a bc d] times [ d −b−c a ]. What is the inverse of each matrix if ad ̸= bc?31. (a) What matrix E has the same effect as these three steps? Subtract row 1 from row2, subtract row 1 from row 3, then subtract row 2 from row 3.(b) What single matrix L has the same effect as these three reverse steps? Add row2 to row 3, add row 1 to row 3, then add row 1 to row 2.32. Find the numbers a and b that give the inverse of 5 ∗ eye(4) − ones(4,4):a b b bb a b bb b a bb b b aWhat are a and b in the inverse of 6 ∗ eye(5) − ones(5,5)?33. Show that A = 4 ∗ eye(4) − ones(4,4) is not invertible: Multiply A ∗ ones(4,1).34. There are sixteen 2 by 2 matrices whose entries are 1s and 0s. How many of themProblems 35–39 are about the Gauss-Jordan method for calculating A−1.35. Change I into A−1 as you reduce A to I (by row operations):1 3 1 02 7 0 11 4 1 03 9 0 136. Follow the 3 by 3 text example but with plus signs in A. Eliminate above and belowthe pivots to reduce [A I] to [I A−1]:2 1 0 1 0 01 2 1 0 1 00 1 2 0 0 1",gauss elim
"1.7 Special Matrices and Applications(a) Factor A into LU, assuming v2 ̸= 0.(b) Find A−1, which has the same form as A.1.19 Solve by elimination, or show that there is no solution:u + 2v + 3w = 03u + 5v + 7w = 1u + 3w =3u + 5v + 7w = 1.1.20 The n by n permutation matrices are an important example of a “group.” If youmultiply them you stay inside the group; they have inverses in the group; the identityis in the group; and the law P1(P2P3) = (P1P2)P3 is true—because it is true for all(a) How many members belong to the groups of 4 by 4 and n by n permutation(b) Find a power k so that all 3 by 3 permutation matrices satisfy Pk = I.1.21 Describe the rows of DA and the columns of AD if D = [2 01.22 (a) If A is invertible what is the inverse of AT?(b) If A is also symmetric what is the transpose of A−1?(c) Illustrate both formulas when A = [2 11.23 By experiment with n = 2 and n = 3, ﬁnd1.24 Starting with a ﬁrst plane u+2v−w = 6, ﬁnd the equation for(a) the parallel plane through the origin.(b) a second plane that also contains the points (6,0,0) and (2,2,0).(c) a third plane that meets the ﬁrst and second in the point (4,1,0).1.25 What multiple of row 2 is subtracted from row 3 in forward elimination of A?How do you know (without multiplying those factors) that A is invertible, symmet-ric, and tridiagonal? What are its pivots?1.26 (a) What vector x will make Ax = column 1 of A + 2(column 3), for a 3 by 3 matrix",gauss elim
"4.2 Properties of the Determinantthe best deﬁnition. Obviously, detA will not be some extremely simple function of n2variables; otherwise A−1 would be much easier to ﬁnd than it actually is.The simple things about the determinant are not the explicit formulas, but the prop-erties it possesses. This suggests the natural place to begin. The determinant can be (andwill be) deﬁned by its three most basic properties: detI = 1, the sign is reversed by arow exchange, the determinant is linear in each row separately. The problem is thento show, by systematically using these properties, how the determinant can be computed.This will bring us back to the product of the pivots.Section 4.2 explains these three deﬁning properties of the determinant, and their mostimportant consequences. Section 4.3 gives two more formulas for the determinant—the“big formula” with n! terms, and a formula “by induction”. In Section 4.4 the determi-nant is applied to ﬁnd A−1. Then we compute x = A−1b by Cramer’s rule. And ﬁnally, inan optional remark on permutations, we show that whatever the order in which the prop-erties are used, the result is always the same—the deﬁning properties are self-consistent.Here is a light-hearted question about permutations. How many exchanges does ittake to change VISA into AVIS? Is this permutation odd or even?Properties of the DeterminantThis will be a pretty long list. Fortunately each rule is easy to understand, and eveneasier to illustrate, for a 2 by 2 example. Therefore we shall verify that the familiardeﬁnition in the 2 by 2 case,����� = ad −bc,possesses every property in the list. (Notice the two accepted notations for the deter-minant, detA and |A|.) Properties 4–10 will be deduced from the previous ones. Everyproperty is a consequence of the ﬁrst three. We emphasize that the rules apply tosquare matrices of any size.1. The determinant of the identity matrix is 1.",determinants
"Chapter 2 Vector SpacesFind H−1 and write v = (7,5,3,1) as a combination of the columns of H.48. Suppose we have two bases v1,...,vn and w1,...,wn for Rn. If a vector has coefﬁ-cients bi in one basis and ci in the other basis, what is the change-of-basis matrix inb = Mc? Start fromb1v1 +···+bnvn = Vb = c1w1 +···+cnwn = Wc.Your answer represents T(v) = v with input basis of v’s and output basis of w’s.Because of different bases, the matrix is not I.49. True or false: If we know T(v) for n different nonzero vectors in R2, then we knowT(v) for every vector in Rn.50. (Recommended) Suppose all vectors x in the unit square 0 ≤ x1 ≤ 1, 0 ≤ x2 ≤ 1 aretransformed to Ax (A is 2 by 2).(a) What is the shape of the transformed region (all Ax)?(b) For which matrices A is that region a square?(c) For which A is it a line?(d) For which A is the new area still 1?1.1 Find a basis for the following subspaces of R4:(a) The vectors for which x1 = 2x4.(b) The vectors for which x1 +x2 +x3 = 0 and x3 +x4 = 0.(c) The subspace spanned by (1,1,1,1), (1,2,3,4), and (2,3,4,5).1.2 By giving a basis, describe a two-dimensional subspace of R3 that contains none ofthe coordinate vectors (1,0,0), (0,1,0), (0,0,1).1.3 True or false, with counterexample if false:(a) If the vectors x1,...,xm span a subspace S, then dimS = m.(b) The intersection of two subspaces of a vector space cannot be empty.(c) If Ax = Ay, then x = y.(d) The row space of A has a unique basis that can be computed by reducing A to(e) If a square matrix A has independent columns, so does A2.",vector spaces
"Chapter 7 Computations with Matrices17. (Suggested by Moler and Van Loan) Compute b−Ay and b−Az whenIs y closer than z to solving Ax = b? Answer in two ways: Compare the residualb−Ay to b−Az. Then compare y and z to the true x = (1,−1), Sometimes we wanta small residual, sometimes a small δx.Problems 18–20 are about vector norms other than the usual ∥x∥ = √x·x.18. The “ℓ1 norm” is ∥x∥1 = |x|1+···+|x|n. The “ℓ∞ norm” is ∥x∥∞ = max|xi|. Compute∥x∥, ∥x∥1 and ∥x∥∞ for the vectors19. Prove that ∥x∥∞ ≤ ∥x∥ ≤ ∥x∥1. Show from the Schwarz inequality that the ratios∥x∥/∥x∥∞ and ∥x∥1/∥x∥ are never larger than √n. Which vector (x1,...,xn) givesratios equal to √n?20. All vector norms must satisfy the triangle inequality. Prove that∥x+y∥∞ ≤ ∥x∥∞ +∥y∥∞∥x+y∥1 ≤ ∥x∥1 +∥y∥1.21. Compute the exact inverse of the Hilbert matrix A by elimination. Then computeA−1 again by rounding all numbers to three ﬁgures:A = hilb(3) =22. For the same A, compute b = Ax for x = (1,1,1) and x = (0,6,−3.6). A small change∆b produces a large change ∆x.23. Compute λmax and λmin for the 8 by 8 Hilbert matrix aij = 1/(i + j − 1). If Ax = bwith ∥b∥ = 1, how large can ∥x∥ be? If b has roundoff error less than 10−16, howlarge an error can this cause in x?24. If you know L, U, Q, and R, is it faster to solve LUx = b or QRx = b?25. Choosing the largest available pivot in each column (partial pivoting), factor each Ainto PA = LU:",computations
"Chapter 5 Eigenvalues and Eigenvectors27. Prove that AHA is always a Hermitian matrix, Compute AHA and AAH:28. If Az = 0, then AHAz = 0. If AHAz = 0, multiply by zH to prove that Az = 0. Thenullspaces of A and AHA are. AHA is an invertible Hermitian matrix when thenullspace of A contains only z =29. When you multiply a Hermitian matrix by a real number c, is cA still Hermitian? Ifc = i, show that iA is skew-Hermitian. The 3 by 3 Hermitian matrices are a subspace,provided that the “scalars” are real numbers.30. Which classes of matrices does P belong to: orthogonal, invertible, Hermitian, uni-tary, factorizable into LU, factorizable into QR?31. Compute P2, P3, and P100 in Problem 30. What are the eigenvalues of P?32. Find the unit eigenvectors of P in Problem 30, and put them into the columns of aunitary matrix U. What property of P makes these eigenvectors orthogonal?33. Write down the 3 by 3 circulant matrix C = 2I + 5P + 4P2. It has the same eigen-vectors as P in Problem 30. Find its eigenvalues.34. If U is unitary and Q is a real orthogonal matrix, show that U−1 is unitary and alsoUQ is unitary. Start from UHU = I and QTQ = I.35. Diagonalize A (real λ’s) and K (imaginary λ’s) to reach UΛUH:36. Diagonalize this orthogonal matrix to reach Q = UΛUH. Now all λ’s are37. Diagonalize this unitary matrix V to reach V = UΛUH. Again all |λ| = 1:",eigenvec_val
"Vector Spaces and SubspacesElimination can simplify, one entry at a time, the linear system Ax = b. Fortunately italso simpliﬁes the theory. The basic questions of existence and uniqueness—Is thereone solution, or no solution, or an inﬁnity of solutions?—are much easier to answerafter elimination, We need to devote one more section to those questions, to ﬁnd everysolution for an m by n system. Then that circle of ideas will be complete.But elimination produces only one kind of understanding of Ax = b. Our chief objectis to achieve a different and deeper understanding. This chapter may be more difﬁcultthan the ﬁrst one. It goes to the heart of linear algebra.For the concept of a vector space, we start immediately with the most importantspaces. They are denoted by R1,R2,R3,...; the space Rn consists of all column vectorswith n components. (We write R because the components are real numbers.) R2 isrepresented by the usual x-y plane; the two components of the vector become the x andy coordinates of the corresponding point. The three components of a vector in R3 give apoint in three-dimensional space. The one-dimensional space R1 is a line.The valuable thing for linear algebra is that the extension to n dimensions is sostraightforward. For a vector in R7 we just need the seven components, even if thegeometry is hard to visualize. Within all vector spaces, two operations are possible:We can add any two vectors, and we can multiply all vectors by scalars.In other words, we can take linear combinations.Addition obeys the commutative law x + y = y + x; there is a “zero vector” satisfying0+x = x; and there is a vector “−x” satisfying −x+x = 0. Eight properties (includingthose three) are fundamental; the full list is given in Problem 5 at the end of this section.A real vector space is a set of vectors together with rules for vector addition and mul-tiplication by real numbers. Addition and multiplication must produce vectors in thespace, and they must satisfy the eight conditions.",vector spaces
