text,labels
Matrices and Gaussian Elimination,gauss elim
This book begins with the central problem of linear algebra: solving linear equations.,gauss elim
"The most important ease, and the simplest, is when the number of unknowns equals the",gauss elim
"number of equations. We have n equations in n unknowns, starting with n = 2:",gauss elim
1x + 2y =,gauss elim
Two unknowns 4x + 5y = 6.,gauss elim
"The unknowns are x and y. I want to describe two ways, elimination and determinants,",gauss elim
"to solve these equations. Certainly x and y are determined by the numbers 1, 2, 3, 4, 5,",gauss elim
6. The question is how to use those six numbers to solve the system.,gauss elim
1. Elimination Subtract 4 times the ﬁrst equation from the second equation. This,gauss elim
eliminates x from the second equation. and it leaves one equation for y:,gauss elim
Immediately we know y = 2. Then x comes from the ﬁrst equation 1x+2y = 3:,gauss elim
"Proceeding carefully, we cheek that x and y also solve the second equation. This",gauss elim
should work and it does: 4 times (x = −1) plus 5 times (y = 2) equals 6.,gauss elim
2. Determinants The solution y = 2 depends completely on those six numbers in the,gauss elim
equations. There most be a formula for y (and also x) It is a “ratio of determinants”,gauss elim
and I hope you will allow me to write it down directly:,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
"That could seem a little mysterious, unless you already know about 2 by 2 determi-",gauss elim
"nants. They gave the same answer y = 2, coming from the same ratio of −6 to −3.",gauss elim
"If we stay with determinants (which we don’t plan to do), there will be a similar",gauss elim
"formula to compute the other unknown, x:",gauss elim
"Let me compare those two approaches, looking ahead to real problems when n is",gauss elim
much larger (n = 1000 is a very moderate size in scientiﬁc computing). The truth is that,gauss elim
direct use of the determinant formula for 1000 equations would be a total disaster. It,gauss elim
"would use the million numbers on the left sides correctly, but not efﬁciently. We will",gauss elim
"ﬁnd that formula (Cramer’s Rule) in Chapter 4, but we want a good method to solve",gauss elim
1000 equations in Chapter 1.,gauss elim
That good method is Gaussian Elimination. This is the algorithm that is constantly,gauss elim
used to solve large systems of equations. From the examples in a textbook (n = 3 is,gauss elim
close to the upper limit on the patience of the author and reader) too might not see much,gauss elim
difference. Equations (2) and (4) used essentially the same steps to ﬁnd y = 2. Certainly,gauss elim
x came faster by the back-substitution in equation (3) than the ratio in (5). For larger,gauss elim
n there is absolutely no question. Elimination wins (and this is even the best way to,gauss elim
The idea of elimination is deceptively simple—you will master it after a few exam-,gauss elim
"ples. It will become the basis for half of this book, simplifying a matrix so that we can",gauss elim
"understand it. Together with the mechanics of the algorithm, we want to explain four",gauss elim
deeper aspects in this chapter. They are:,gauss elim
1. Linear equations lead to geometry of planes. It is not easy to visualize a nine-,gauss elim
"dimensional plane in ten-dimensional space. It is harder to see ten of those planes,",gauss elim
intersecting at the solution to ten equations—but somehow this is almost possible.,gauss elim
"Our example has two lines in Figure 1.1, meeting at the point (x,y) = (−1,2).",gauss elim
"Linear algebra moves that picture into ten dimensions, where the intuition has to",gauss elim
imagine the geometry (and gets it right),gauss elim
"2. We move to matrix notation, writing the n unknowns as a vector x and the n equa-",gauss elim
tions as Ax = b. We multiply A by “elimination matrices” to reach an upper trian-,gauss elim
"gular matrix U. Those steps factor A into L times U, where L is lower triangular.",gauss elim
"I will write down A and its factors for our example, and explain them at the right",gauss elim
