text,label
1 3 3 2,vector spaces
The second eigenvalue λ2(A) = 2 is above the lowest eigenvalue λ1(B) = 1. The lowest,pos_def_matrices
matrix Q−1AQ = QTAQ.,pos_def_matrices
i . Stability depends on the eigenvalues:,eigenvec_val
Rayleigh quotient is the fundamental frequency λ1. Its approximate minimum Λ1 will,pos_def_matrices
"permutation matrix P, and (depending on n) what is its determinant?",determinants
"x = (c,c,c,c) can be added to any particular solution of Ax = b. The complete solution",vector spaces
"derivative is zero, so column 1 is zero. The last column came from (d/dt)t3 = 3t2. Since",vector spaces
"2, which is or-",orthogonality
Tennessee thumped Miami 35-7 in the Sugar Bowl. Final AP and UPI polls,vector spaces
"direct test, look back at the matrix. Row 1 plus row 3 equals row 2. On the right-hand",vector spaces
"2. With free variables = 0, ﬁnd a particular solution to Axp = b and Uxp = c.",vector spaces
cost is reduced—but we cannot go out of the feasible set. The multiple of −Pc is chosen,linear_prog
"You see the lengths of a, B, C on the diagonal of R. The orthonormal vectors q1, q2, q3,",orthogonality
"If A can be diagonalized, A = SΛS−1, then Ak comes from Λk:",eigenvec_val
"means that only certain special numbers are eigenvalues, and only certain special",eigenvec_val
"(a) v = (2,2).",vector spaces
correct but not convincing if I write in italics that the left nullspace is also important. The,vector spaces
"team, and we want xh −xv = bi, for every game. That means a few thousand equations",vector spaces
"This unconstrained problem has n = 2, A = I, and b = 0. So the minimizing equation",pos_def_matrices
"1.9 In the vector space of 2 by 2 matrices,",vector spaces
2 4 0 1,vector spaces
Chapter 2 Vector Spaces,vector spaces
3K The least-squares solution to a problem ax = b in one unknown is �x = aTb,orthogonality
"otherwise zero), show that detA = 1 or −1 or 0.",determinants
into its frequencies is the best way to take a signal apart. The reverse process brings it,orthogonality
"33. Show that A = 4 ∗ eye(4) − ones(4,4) is not invertible: Multiply A ∗ ones(4,1).",gauss elim
space. What do they mean in terms of polynomials?,vector spaces
"(1, 2, 3) has length",orthogonality
numbers can be eigenvalues of P?,eigenvec_val
15. (a) How many entries can be chosen independently in a symmetric matrix of order,gauss elim
"of exponentials eλtx, and we are interested only in those particular values λ for which",eigenvec_val
"Remark 2. Purely out of curiosity, we might count the number of operations required",gauss elim
more important. There is an easy way to recognize when A and B share a full set of,eigenvec_val
"Column space: dimension r = n−1, any n−1 columns are independent.",vector spaces
"to apologize for that; it makes them sound very superﬁcial, and that is wrong. They deal",computations
"(a) Using those multipliers in A, show that column 1 of A and B = column 2 −",orthogonality
0 0 0 0,vector spaces
"center of the underlying theory. Introducing the dual problem is an elegant idea, and",linear_prog
40. There are six 3 by 3 permutation matrices P. What numbers can be the determinants,eigenvec_val
2 0 0 1,determinants
"3.2 Find all vectors that are perpendicular to (1,3,1) and (2,7,2), by making those the",orthogonality
fourth column in [A b]. Find all solutions when that condition holds:,vector spaces
"if A has negative eigenvalues λ1,...,λn and if ω j =",eigenvec_val
"4. (a) Find the LU factorization, the pivots, and the determinant of the 4 by 4 matrix",determinants
"pivots, or more than n. We want to prove that when r = m there is a right-inverse, and",vector spaces
"space, and it is in the left nullspace.",orthogonality
(f) What is the general solution to Ax = 0?,vector spaces
3 over the interval −1 ≤ x ≤ 1.,orthogonality
2. They span the space V (not too few vectors).,vector spaces
A band matrix has aij = 0 except in the band |i − j| < w (Figure 1.8). The “half,gauss elim
(b) If Q (3 by 2) has orthonormal columns then ∥Qx∥ always equals ∥x∥.,orthogonality
"Our ﬁrst requirement had to do with rows, and this one is concerned with columns. A",gauss elim
"it equals (IłA)−1, for the consumption matrix",eigenvec_val
zero. Another approach is to compute the determinant of the exponential:,eigenvec_val
"(I −A)−1 has the same eigenvector, with eigenvalue 1/(1−λ1).",eigenvec_val
"for j = 1,...,n.",gauss elim
We could write c = L−1b and then x = U−1c = U−1L−1b. But note that we did not,gauss elim
formula for the ﬁrst coefﬁcient c1 in terms of b and the q’s.,orthogonality
"whose columns are q1, q2, q3. What is the relation between those matrices? The matrices",orthogonality
eigenvalues equals detL = detT/detS:,computations
"The result of all three steps is GFEA = U. Note that E is the ﬁrst to multiply A,",gauss elim
"in Figure 6.6, where the horizontal distance to the ellipse (where a11x2 = 1) is between",pos_def_matrices
"The measurements b1,...,bm are given at distinct points t1,...,tm. Then",orthogonality
(a) Those vectors (do)(do not)(might not) span R4.,vector spaces
1. Techniques for Solving Ax = b.,computations
u(0) = c1x1 +c2x2 =,eigenvec_val
the same space. When are they a basis for,vector spaces
∑mijvi of the v’s.,eigenvec_val
to transform vectors in Rn to vectors in a different space Rm. That is exactly what is done,vector spaces
(a) A real symmetric matrix.,eigenvec_val
"detA ̸= 0, then A is invertible (and A−1 involves 1/detA).",determinants
(c) This is the row xT = [0 1] times the column Ay =,gauss elim
Of course the shapes of these matrices must match properly—B and C have the same,gauss elim
"of this section, that has cosθ and sinθ in a 2 by 2 block. Then we could cycle through",computations
the entries of A by 1000; then λ1 will be multiplied by 1000 and the matrix will look,computations
"In case AB = BA (not generally true!), how do you prove that BTAT = ATBT?",gauss elim
"the Fundamental Theorem, b is a combination of the columns!",orthogonality
separating hyperplane is fundamental to mathematical economics.,linear_prog
3u + 5v + 7w = 1,gauss elim
ponent of x (thereby reducing A to B).,pos_def_matrices
The total v+w still remains constant. How are the λ’s changed now that A is changed,eigenvec_val
points—what is happening in Figure 3.9b?,orthogonality
"(a+b)−1 is hard to simplify, while 1/ab splits into 1/a times 1/b. But for matrices the",gauss elim
". By averaging, the variance drops from",orthogonality
"duality, which comes next.",linear_prog
"times (1,0,0) from the second row, which removes ℓ21.) Both sides of (7) end up equal",gauss elim
the nullspace becomes more than just a line in n-dimensional space. The nullspace has,vector spaces
